City,Season,Pollutant,N,N_valid,N_missing,Mean,SD,Median,P25,P75,IQR,Min,Max
Amman,Autumn,PM10,455,451,4,73.43119165086752,45.90079040625915,58.6,43.19415259047431,89.65394920118842,46.459796610714115,23.22,416.0379598357379
Amman,Autumn,NO2,455,454,1,25.708351946554618,7.7136596253279945,24.7425,20.16833333333333,30.110416666666662,9.942083333333333,10.99333333333333,51.36666666666667
Amman,Autumn,SO2,455,454,1,9.110739712436404,6.933771295590589,7.102291036950293,4.549375,11.635625000000001,7.086250000000001,0.6377499999999999,52.2
Amman,Spring,PM10,460,443,17,71.74959190752962,41.03080949311336,61.11666666666667,43.76666666666667,89.24166666666667,45.475,16.0575836757131,347.336690987609
Amman,Spring,NO2,460,441,19,21.77583803101379,6.677410233384486,21.21672507468935,17.45333333333333,25.31666666666667,7.86333333333334,7.06,47.43299237390028
Amman,Spring,SO2,460,441,19,8.333060779259212,3.8129132161154584,7.4375,5.5125,10.42,4.9075,1.8325,25.275
Amman,Summer,PM10,460,460,0,51.2988628065405,24.289625341699544,46.62086451032479,38.291666666666664,56.900000000000006,18.60833333333334,25.36666666666666,292.5223914757211
Amman,Summer,NO2,460,459,1,20.53906005414339,5.7308436244631125,20.11,16.435833333333335,24.237544337734555,7.80171100440122,7.135000000000001,48.38870448615612
Amman,Summer,SO2,460,459,1,5.277803397162694,2.1144625327010003,4.945,3.7525,6.4334658011353305,2.6809658011353306,1.1375,12.805
Amman,Winter,PM10,451,438,13,79.69484556777569,50.28630907558776,70.36666666666666,47.18333333333332,100.43333333333332,53.25,12.20666666666667,385.4036069636866
Amman,Winter,NO2,451,440,11,22.613930841232417,7.559974492820108,22.048333333333336,18.203333333333333,26.47511734011958,8.271784006786248,6.735619295399939,68.43950263004638
Amman,Winter,SO2,451,440,11,12.06392379970942,8.672297865912833,9.6625,6.387823212342997,16.174147097743315,9.786323885400318,0.8720361514206957,92.72114310599912
Irbid,Autumn,PM10,455,452,3,50.01907694140791,24.000946075106384,42.7,34.1,59.3,25.199999999999996,12.525,206.0
Irbid,Autumn,NO2,455,452,3,17.916504572965696,7.719681554295924,17.25,12.44,22.7625,10.3225,3.753738676553902,43.94419626817098
Irbid,Autumn,SO2,455,442,13,8.056237556561086,6.4189803776428285,6.35,3.6174999999999997,11.4,7.782500000000001,0.058,35.0
Irbid,Spring,PM10,460,441,19,53.83431639212702,28.64675159154915,45.75,35.05,63.6,28.550000000000004,14.6,209.0
Irbid,Spring,NO2,460,442,18,20.382966888956854,7.012480113736398,19.72,15.105,25.3875,10.282499999999999,6.575,47.05
Irbid,Spring,SO2,460,437,23,9.641493135011443,7.100653232964917,6.86,4.62,14.6,9.98,0.38,40.2
Irbid,Summer,PM10,460,459,1,38.84517227484563,12.763832372358166,36.6,31.725,41.67453129637148,9.949531296371475,21.4,160.9672203450819
Irbid,Summer,NO2,460,459,1,16.672234856449105,5.808930795336837,15.95,12.75,19.9,7.149999999999999,5.33,37.25
Irbid,Summer,SO2,460,444,16,4.995463963963964,4.021603618815513,4.05,2.7425,5.1049999999999995,2.3624999999999994,0.096,23.3
Irbid,Winter,PM10,451,435,16,53.627849006510075,26.28534389822475,48.7,36.625,67.25,30.625,9.260000000000002,196.0
Irbid,Winter,NO2,451,440,11,18.398499481411005,7.304129972257227,18.3,12.85125,23.5375,10.686250000000001,1.606222720309924,37.15
Irbid,Winter,SO2,451,406,45,13.456650246305419,10.832366617190452,10.95,4.8075,19.6,14.7925,0.18,54.5
Zarqa,Autumn,PM10,455,440,15,84.79032615284538,34.97068246417892,81.05000000000001,57.25,106.58920451438928,49.33920451438928,27.35,240.0046818493776
Zarqa,Autumn,NO2,455,454,1,19.43937354531278,7.23312345114195,18.475,14.19625,24.1375,9.94125,2.148045241402138,48.1
Zarqa,Autumn,SO2,455,454,1,9.520893961500892,8.36848666280033,7.575,3.7512499999999998,10.4875,6.736250000000001,0.206,37.85
Zarqa,Spring,PM10,460,432,28,84.60750250234781,41.06209127096944,76.625,53.555845771077045,104.82057406351359,51.264728292436544,12.3304503137632,335.2328537097811
Zarqa,Spring,NO2,460,442,18,18.825678077439026,8.137497726388627,16.55,13.25,21.6375,8.3875,5.225,47.74308243739972
Zarqa,Spring,SO2,460,442,18,8.026449028535186,5.90312777959599,6.225,3.8075,9.6575,5.8500000000000005,1.0,26.9
Zarqa,Summer,PM10,460,456,4,64.15595162375479,24.591478170893005,61.35,45.58749999999999,80.0125,34.42500000000001,20.3071064370002,173.7178664713061
Zarqa,Summer,NO2,460,459,1,16.76395938972282,5.190231818695777,16.0,12.84705483095745,19.875,7.02794516904255,6.850452627510053,35.95
Zarqa,Summer,SO2,460,459,1,6.402433035305993,4.785675428898571,5.805,2.41,8.675,6.265000000000001,0.315,22.25
Zarqa,Winter,PM10,451,425,26,82.14569777481877,41.129847711103054,77.05,53.45,102.35,48.89999999999999,10.11160576046086,348.7062436696746
Zarqa,Winter,NO2,451,440,11,19.04066212457615,7.50354141824079,16.875,13.787500000000001,23.09703299484856,9.30953299484856,5.75,41.75
Zarqa,Winter,SO2,451,440,11,8.791263145175352,6.651768050197252,6.112499999999999,4.19875,12.69625,8.497499999999999,0.72,30.225
