Pollutant,co-pollutant,beta,se,P_val,RR,inf,sup,IR10,inf10,sup10,significance
Single PM10,,0.000975403,0.000295944,0.001001211,1.009801753,1.003961345,1.015676136,0.980175265,0.396134521,1.567613587,**
,NO2,0.00106242,0.00030672,0.000545912,1.010680842,1.004623141,1.016775069,1.068084186,0.462314135,1.677506923,***
,SO2,0.001186736,0.000328267,0.000309001,1.011938056,1.005448107,1.018469896,1.193805565,0.544810652,1.8469896,***
,NO2+SO2,0.001182737,0.000328733,0.000330116,1.011897594,1.00539872,1.018438476,1.189759386,0.539871985,1.843847643,***
Single NO2,,-0.000477598,0.001756674,0.785749996,0.995235405,0.961551838,1.030098922,-0.476459513,-3.844816223,3.009892156,
,PM10,-0.001991918,0.001810132,0.271303435,0.980277899,0.946108742,1.015681091,-1.972210132,-5.389125848,1.568109085,
,SO2,-0.000961092,0.002301441,0.676288732,0.990435113,0.946750994,1.036134866,-0.956488672,-5.324900642,3.613486573,
,PM10+SO2,-0.000579719,0.002292893,0.800428275,0.994219585,0.950527778,1.039919723,-0.578041493,-4.947222209,3.991972282,
Single SO2,,0.000119308,0.001639585,0.941999658,1.001193797,0.969531053,1.033890576,0.119379682,-3.046894739,3.389057638,
,PM10,-0.002659272,0.001813665,0.142768892,0.973757754,0.939750798,1.008995327,-2.624224587,-6.024920223,0.899532726,
,NO2,0.000698927,0.002147784,0.744904738,1.007013755,0.965501818,1.050310505,0.701375494,-3.449818156,5.031050513,
,PM10+NO2,-0.00230245,0.002297935,0.316504501,0.977238538,0.934200652,1.022259145,-2.276146218,-6.579934755,2.225914454,
